gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SNORD116-15,82.45351413,-3.124328853,0.577133229,-5.413531389,6.18E-08,1.77E-06
FREM3,144.392397,-3.250019793,0.258944121,-12.55104684,3.92E-36,1.23E-31
LOC105371672,81.90835318,-3.276257761,0.411976846,-7.952528873,1.83E-15,7.06E-13
LINC00507,160.7838288,-3.305236248,0.657962448,-5.023442082,5.08E-07,1.06E-05
RNR1,186254.6044,-3.551472834,0.582942182,-6.092324322,1.11E-09,5.98E-08
LOC105369302,59.19315106,-4.030745336,0.429884984,-9.376334325,6.83E-21,1.53E-17
LOC105379549,112.6752725,-4.472961553,0.862108111,-5.188399802,2.12E-07,5.10E-06
PRLR,55.08812149,-1.302262713,0.241060905,-5.402214492,6.58E-08,0.000156368
IGFBP3,166.109987,-0.80396735,0.206753072,-3.888538833,0.00010085,0.063288363
HLA-C,446.9375161,-0.801901044,0.206829293,-3.877115434,0.000105702,0.063288363
CD163,114.497571,-1.330214071,0.344946093,-3.856295518,0.000115118,0.06434662
FOLR3,408.9093253,-2.819434187,0.531902444,-5.300660336,1.15E-07,0.003348114
